Municipios	Periodo	Total
03050 Campello, el	1920	2.992
03050 Campello, el	1910	2.928
03050 Campello, el	1900	""
03051 Campo de Mirra/Camp de Mirra, el	1991	381
03051 Campo de Mirra/Camp de Mirra, el	1981	390
03051 Campo de Mirra/Camp de Mirra, el	1970	505
03051 Campo de Mirra/Camp de Mirra, el	1960	538
03051 Campo de Mirra/Camp de Mirra, el	1950	630
03051 Campo de Mirra/Camp de Mirra, el	1940	596
03051 Campo de Mirra/Camp de Mirra, el	1930	671
03051 Campo de Mirra/Camp de Mirra, el	1920	817
03051 Campo de Mirra/Camp de Mirra, el	1910	1.014
03051 Campo de Mirra/Camp de Mirra, el	1900	945
03052 Cañada	1991	1.084
03052 Cañada	1981	1.084
03052 Cañada	1970	1.121
03052 Cañada	1960	1.074
03052 Cañada	1950	1.062
03052 Cañada	1940	1.010
03052 Cañada	1930	974
03052 Cañada	1920	1.103
03052 Cañada	1910	994
03052 Cañada	1900	1.036
03053 Castalla	1991	7.205
03053 Castalla	1981	6.594
03053 Castalla	1970	5.799
03053 Castalla	1960	4.514
03053 Castalla	1950	4.102
03053 Castalla	1940	3.972
03053 Castalla	1930	4.202
03053 Castalla	1920	4.113
03053 Castalla	1910	4.308
03053 Castalla	1900	4.285
03054 Castell de Castells	1991	529
03054 Castell de Castells	1981	695
03054 Castell de Castells	1970	797
03054 Castell de Castells	1960	828
03054 Castell de Castells	1950	977
03054 Castell de Castells	1940	1.046
03054 Castell de Castells	1930	1.186
03054 Castell de Castells	1920	1.109
03054 Castell de Castells	1910	1.174
03054 Castell de Castells	1900	1.451
03055 Catral	1991	4.394
03055 Catral	1981	4.209
03055 Catral	1970	3.904
03055 Catral	1960	4.183
03055 Catral	1950	3.871
03055 Catral	1940	3.391
03055 Catral	1930	3.025
03055 Catral	1920	3.000
03055 Catral	1910	3.007
03055 Catral	1900	2.592
03056 Cocentaina	1991	10.567
03056 Cocentaina	1981	9.669
03056 Cocentaina	1970	9.442
03056 Cocentaina	1960	8.688
03056 Cocentaina	1950	8.099
03056 Cocentaina	1940	8.108
03056 Cocentaina	1930	8.289
03056 Cocentaina	1920	7.211
03056 Cocentaina	1910	7.125
03056 Cocentaina	1900	7.093
03057 Confrides	1991	284
03057 Confrides	1981	368
03057 Confrides	1970	499
03057 Confrides	1960	601
03057 Confrides	1950	774
03057 Confrides	1940	860
03057 Confrides	1930	788
03057 Confrides	1920	776
03057 Confrides	1910	780
03057 Confrides	1900	744
03058 Cox	1991	5.307
03058 Cox	1981	4.995
03058 Cox	1970	4.037
03058 Cox	1960	3.737
03058 Cox	1950	3.301
03058 Cox	1940	2.995
03058 Cox	1930	2.694
03058 Cox	1920	2.456
03058 Cox	1910	2.003
03058 Cox	1900	1.744
03059 Crevillent	1991	22.660
