Municipios	Periodo	Total
12026 Benassal	1930	2.284
12026 Benassal	1920	2.525
12026 Benassal	1910	2.819
12026 Benassal	1900	2.860
12027 Benicarló	1991	18.460
12027 Benicarló	1981	16.587
12027 Benicarló	1970	12.831
12027 Benicarló	1960	10.627
12027 Benicarló	1950	9.385
12027 Benicarló	1940	9.598
12027 Benicarló	1930	7.456
12027 Benicarló	1920	7.012
12027 Benicarló	1910	7.197
12027 Benicarló	1900	7.251
12028 Benicasim/Benicàssim	1991	6.151
12028 Benicasim/Benicàssim	1981	4.705
12028 Benicasim/Benicàssim	1970	2.923
12028 Benicasim/Benicàssim	1960	2.009
12028 Benicasim/Benicàssim	1950	1.995
12028 Benicasim/Benicàssim	1940	1.856
12028 Benicasim/Benicàssim	1930	1.841
12028 Benicasim/Benicàssim	1920	1.568
12028 Benicasim/Benicàssim	1910	1.533
12028 Benicasim/Benicàssim	1900	1.302
12029 Benlloc	1991	904
12029 Benlloc	1981	1.043
12029 Benlloc	1970	1.156
12029 Benlloc	1960	1.316
12029 Benlloc	1950	1.490
12029 Benlloc	1940	1.532
12029 Benlloc	1930	1.623
12029 Benlloc	1920	1.661
12029 Benlloc	1910	1.774
12029 Benlloc	1900	1.811
12021 Betxí	1991	5.236
12021 Betxí	1981	4.824
12021 Betxí	1970	3.996
12021 Betxí	1960	2.903
12021 Betxí	1950	2.333
12021 Betxí	1940	2.256
12021 Betxí	1930	2.221
12021 Betxí	1920	2.032
12021 Betxí	1910	2.122
12021 Betxí	1900	2.077
12031 Borriol	1991	2.668
12031 Borriol	1981	2.428
12031 Borriol	1970	2.495
12031 Borriol	1960	2.708
12031 Borriol	1950	2.475
12031 Borriol	1940	2.654
12031 Borriol	1930	3.142
12031 Borriol	1920	3.019
12031 Borriol	1910	3.477
12031 Borriol	1900	3.385
12032 Borriana/Burriana	1991	25.438
12032 Borriana/Burriana	1981	25.003
12032 Borriana/Burriana	1970	22.651
12032 Borriana/Burriana	1960	18.616
12032 Borriana/Burriana	1950	17.697
12032 Borriana/Burriana	1940	18.473
12032 Borriana/Burriana	1930	14.675
12032 Borriana/Burriana	1920	13.895
12032 Borriana/Burriana	1910	14.243
12032 Borriana/Burriana	1900	12.962
12033 Cabanes	1991	2.378
12033 Cabanes	1981	2.762
12033 Cabanes	1970	3.050
12033 Cabanes	1960	3.254
12033 Cabanes	1950	3.521
12033 Cabanes	1940	3.444
12033 Cabanes	1930	3.631
12033 Cabanes	1920	3.653
12033 Cabanes	1910	3.957
12033 Cabanes	1900	3.758
12034 Càlig	1991	1.750
12034 Càlig	1981	1.740
12034 Càlig	1970	1.932
12034 Càlig	1960	2.149
12034 Càlig	1950	2.399
12034 Càlig	1940	2.435
12034 Càlig	1930	2.896
12034 Càlig	1920	2.827
12034 Càlig	1910	3.218
12034 Càlig	1900	3.102
12036 Canet lo Roig	1991	1.051
12036 Canet lo Roig	1981	1.207
12036 Canet lo Roig	1970	1.463
12036 Canet lo Roig	1960	1.750
12036 Canet lo Roig	1950	1.974
12036 Canet lo Roig	1940	2.029
12036 Canet lo Roig	1930	2.166
12036 Canet lo Roig	1920	2.277
12036 Canet lo Roig	1910	2.464
12036 Canet lo Roig	1900	2.400
12037 Castell de Cabres	1991	24
12037 Castell de Cabres	1981	36
12037 Castell de Cabres	1970	76
12037 Castell de Cabres	1960	153
12037 Castell de Cabres	1950	348
12037 Castell de Cabres	1940	288
12037 Castell de Cabres	1930	315
12037 Castell de Cabres	1920	406
12037 Castell de Cabres	1910	434
12037 Castell de Cabres	1900	416
12038 Castellfort	1991	246
12038 Castellfort	1981	320
12038 Castellfort	1970	556
12038 Castellfort	1960	724
12038 Castellfort	1950	914
12038 Castellfort	1940	939
12038 Castellfort	1930	1.016
12038 Castellfort	1920	1.087
12038 Castellfort	1910	1.295
12038 Castellfort	1900	1.432
12039 Castellnovo	1991	1.090
12039 Castellnovo	1981	1.098
12039 Castellnovo	1970	1.296
12039 Castellnovo	1960	1.239
12039 Castellnovo	1950	1.275
12039 Castellnovo	1940	1.290
12039 Castellnovo	1930	1.215
12039 Castellnovo	1920	1.126
12039 Castellnovo	1910	1.266
12039 Castellnovo	1900	1.240
12040 Castelló de la Plana	1991	138.489
12040 Castelló de la Plana	1981	126.464
