city,year,population
Altura,2015,3647
Altura,2014,3670
Altura,2013,3898
Altura,2012,3866
Altura,2011,3924
Altura,2010,3949
Altura,2009,3920
Altura,2008,3784
Altura,2007,3643
Altura,2006,3470
Altura,2005,3355
Altura,2004,3234
Altura,2003,3234
Altura,2002,3186
Altura,2001,3145
Altura,2000,3137
Altura,1999,3144
Altura,1998,3144
Altura,1996,3093
Arañuel,2025,148
Arañuel,2024,159
Arañuel,2023,165
Arañuel,2022,162
Arañuel,2021,152
Arañuel,2020,151
Arañuel,2019,150
Arañuel,2018,146
Arañuel,2017,151
Arañuel,2016,160
Arañuel,2015,171
Arañuel,2014,181
Arañuel,2013,185
Arañuel,2012,196
Arañuel,2011,196
Arañuel,2010,200
Arañuel,2009,199
Arañuel,2008,205
Arañuel,2007,195
Arañuel,2006,188
Arañuel,2005,199
Arañuel,2004,191
Arañuel,2003,199
Arañuel,2002,195
Arañuel,2001,210
Arañuel,2000,181
Arañuel,1999,160
Arañuel,1998,142
Arañuel,1996,133
Ares del Maestrat,2025,181
Ares del Maestrat,2024,177
Ares del Maestrat,2023,174
Ares del Maestrat,2022,173
Ares del Maestrat,2021,175
Ares del Maestrat,2020,184
Ares del Maestrat,2019,186
Ares del Maestrat,2018,190
Ares del Maestrat,2017,197
Ares del Maestrat,2016,202
Ares del Maestrat,2015,208
Ares del Maestrat,2014,210
Ares del Maestrat,2013,206
Ares del Maestrat,2012,215
Ares del Maestrat,2011,206
Ares del Maestrat,2010,206
Ares del Maestrat,2009,216
Ares del Maestrat,2008,217
Ares del Maestrat,2007,218
Ares del Maestrat,2006,222
Ares del Maestrat,2005,228
Ares del Maestrat,2004,228
Ares del Maestrat,2003,229
Ares del Maestrat,2002,246
Ares del Maestrat,2001,249
Ares del Maestrat,2000,254
Ares del Maestrat,1999,268
Ares del Maestrat,1998,266
Ares del Maestrat,1996,281
Argelita,2025,139
Argelita,2024,146
Argelita,2023,156
Argelita,2022,153
Argelita,2021,147
Argelita,2020,126
Argelita,2019,118
Argelita,2018,113
Argelita,2017,94
Argelita,2016,97
Argelita,2015,103
Argelita,2014,91
Argelita,2013,96
Argelita,2012,100
Argelita,2011,96
Argelita,2010,106
Argelita,2009,111
Argelita,2008,105
Argelita,2007,107
Argelita,2006,112
Argelita,2005,118
Argelita,2004,117
Argelita,2003,113
Argelita,2002,117
Argelita,2001,126
Argelita,2000,136
Argelita,1999,121
Argelita,1998,117
Argelita,1996,110
Artana,2025,1993
Artana,2024,1971
Artana,2023,1980
Artana,2022,1979
Artana,2021,1970
Artana,2020,1955
Artana,2019,1947
Artana,2018,1958
Artana,2017,1979
Artana,2016,1979
Artana,2015,1992
Artana,2014,1994
Artana,2013,2015
Artana,2012,1974
Artana,2011,1990
Artana,2010,1971
Artana,2009,1969
Artana,2008,1987
Artana,2007,1937
Artana,2006,1857
Artana,2005,1803
Artana,2004,1851
Artana,2003,1848
Artana,2002,1770
Artana,2001,1835
Artana,2000,1840
Artana,1999,1828
Artana,1998,1869
Artana,1996,1909
Atzeneta del Maestrat,2025,1284
Atzeneta del Maestrat,2024,1309
Atzeneta del Maestrat,2023,1319
Atzeneta del Maestrat,2022,1287
Atzeneta del Maestrat,2021,1292
Atzeneta del Maestrat,2020,1304
Atzeneta del Maestrat,2019,1276
Atzeneta del Maestrat,2018,1271
Atzeneta del Maestrat,2017,1290
Atzeneta del Maestrat,2016,1286
Atzeneta del Maestrat,2015,1307
Atzeneta del Maestrat,2014,1321
Atzeneta del Maestrat,2013,1325
Atzeneta del Maestrat,2012,1342
Atzeneta del Maestrat,2011,1367
Atzeneta del Maestrat,2010,1409
Atzeneta del Maestrat,2009,1424
Atzeneta del Maestrat,2008,1448
Atzeneta del Maestrat,2007,1462
Atzeneta del Maestrat,2006,1463
Atzeneta del Maestrat,2005,1457
Atzeneta del Maestrat,2004,1442
Atzeneta del Maestrat,2003,1417
Atzeneta del Maestrat,2002,1405
Atzeneta del Maestrat,2001,1415
Atzeneta del Maestrat,2000,1438
Atzeneta del Maestrat,1999,1465
Atzeneta del Maestrat,1998,1465
Atzeneta del Maestrat,1996,1486
Ayódar,2025,176
Ayódar,2024,182
Ayódar,2023,178
Ayódar,2022,156
Ayódar,2021,158
Ayódar,2020,153
Ayódar,2019,159
Ayódar,2018,164
Ayódar,2017,165
Ayódar,2016,172
Ayódar,2015,175
Ayódar,2014,188
Ayódar,2013,197
Ayódar,2012,206
Ayódar,2011,212
Ayódar,2010,220
Ayódar,2009,234
Ayódar,2008,236
Ayódar,2007,231
Ayódar,2006,227
Ayódar,2005,228
Ayódar,2004,225
Ayódar,2003,220
Ayódar,2002,242
Ayódar,2001,241
Ayódar,2000,236
Ayódar,1999,256
Ayódar,1998,223
Ayódar,1996,221
Azuébar,2025,359
Azuébar,2024,352
Azuébar,2023,336
Azuébar,2022,318
Azuébar,2021,319
Azuébar,2020,310
Azuébar,2019,315
Azuébar,2018,324
Azuébar,2017,324
Azuébar,2016,322
Azuébar,2015,325
Azuébar,2014,323
Azuébar,2013,336
Azuébar,2012,359
Azuébar,2011,376
Azuébar,2010,345
Azuébar,2009,336
Azuébar,2008,343
Azuébar,2007,355
Azuébar,2006,342
Azuébar,2005,366
Azuébar,2004,348
Azuébar,2003,337
Azuébar,2002,341
Azuébar,2001,340
Azuébar,2000,347
Azuébar,1999,347
Azuébar,1998,351
Azuébar,1996,375
Barracas,2025,188
Barracas,2024,195
Barracas,2023,198
Barracas,2022,185
Barracas,2021,185
Barracas,2020,168
Barracas,2019,162
Barracas,2018,169
Barracas,2017,165
Barracas,2016,179
Barracas,2015,181
Barracas,2014,194
Barracas,2013,193
Barracas,2012,201
Barracas,2011,198
Barracas,2010,190
Barracas,2009,184
Barracas,2008,179
Barracas,2007,186
Barracas,2006,192
Barracas,2005,195
Barracas,2004,183
Barracas,2003,186
Barracas,2002,172
Barracas,2001,164
Barracas,2000,159
Barracas,1999,160
Barracas,1998,166
Barracas,1996,171
Bejís,2025,400
Bejís,2024,400
Bejís,2023,409
Bejís,2022,393
Bejís,2021,390
Bejís,2020,371
Bejís,2019,380
Bejís,2018,373
Bejís,2017,378
Bejís,2016,404
Bejís,2015,399
Bejís,2014,406
Bejís,2013,429
Bejís,2012,415
Bejís,2011,423
Bejís,2010,426
Bejís,2009,427
Bejís,2008,452
Bejís,2007,428
Bejís,2006,421
Bejís,2005,413
Bejís,2004,381
Bejís,2003,371
Bejís,2002,377
Bejís,2001,381
Bejís,2000,383
Bejís,1999,383
Bejís,1998,362
Bejís,1996,368
Benafer,2025,168
Benafer,2024,170
Benafer,2023,164
Benafer,2022,171
Benafer,2021,173
Benafer,2020,164
Benafer,2019,152
Benafer,2018,156
Benafer,2017,159
Benafer,2016,164
Benafer,2015,170
Benafer,2014,171
Benafer,2013,169
Benafer,2012,173
Benafer,2011,177
Benafer,2010,179
Benafer,2009,180
Benafer,2008,179
Benafer,2007,168
Benafer,2006,167
Benafer,2005,148
Benafer,2004,145
Benafer,2003,144
Benafer,2002,142
Benafer,2001,145
Benafer,2000,151
Benafer,1999,150
Benafer,1998,148
Benafer,1996,153
Benafigos,2025,121
Benafigos,2024,126
Benafigos,2023,135
Benafigos,2022,136
Benafigos,2021,145
Benafigos,2020,138
Benafigos,2019,142
Benafigos,2018,149
Benafigos,2017,148
Benafigos,2016,160
Benafigos,2015,156
Benafigos,2014,156
Benafigos,2013,161
Benafigos,2012,165
Benafigos,2011,161
Benafigos,2010,158
Benafigos,2009,169
Benafigos,2008,171
Benafigos,2007,178
Benafigos,2006,190
Benafigos,2005,195
Benafigos,2004,186
Benafigos,2003,193
Benafigos,2002,194
Benafigos,2001,202
Benafigos,2000,206
Benafigos,1999,209
Benafigos,1998,218
Benafigos,1996,238
Benassal,2025,1048
Benassal,2024,1052
Benassal,2023,1026
Benassal,2022,1040
Benassal,2021,1055
Benassal,2020,1063
Benassal,2019,1068
Benassal,2018,1084
Benassal,2017,1106
Benassal,2016,1130
Benassal,2015,1150
Benassal,2014,1162
Benassal,2013,1195
Benassal,2012,1226
Benassal,2011,1264
Benassal,2010,1297
Benassal,2009,1340
Benassal,2008,1332
Benassal,2007,1328
Benassal,2006,1346
Benassal,2005,1340
Benassal,2004,1355
Benassal,2003,1391
Benassal,2002,1413
Benassal,2001,1387
Benassal,2000,1388
Benassal,1999,1390
Benassal,1998,1416
Benassal,1996,1405
Benicarló,2025,30296
Benicarló,2024,29607
Benicarló,2023,28681
Benicarló,2022,27780
Benicarló,2021,27658
Benicarló,2020,27363
Benicarló,2019,26912
Benicarló,2018,26744
Benicarló,2017,26429
Benicarló,2016,26486
Benicarló,2015,26403
Benicarló,2014,26521
Benicarló,2013,26491
Benicarló,2012,26677
Benicarló,2011,26553
Benicarló,2010,26616
