city,year,population
"Alfàs del Pi, l'",2004,14656
"Alfàs del Pi, l'",2003,16164
"Alfàs del Pi, l'",2002,15848
"Alfàs del Pi, l'",2001,14980
"Alfàs del Pi, l'",2000,14139
"Alfàs del Pi, l'",1999,13226
"Alfàs del Pi, l'",1998,13145
"Alfàs del Pi, l'",1996,12547
Algorfa,2025,3788
Algorfa,2024,3684
Algorfa,2023,3635
Algorfa,2022,3513
Algorfa,2021,3396
Algorfa,2020,3125
Algorfa,2019,2935
Algorfa,2018,2838
Algorfa,2017,2761
Algorfa,2016,3222
Algorfa,2015,3693
Algorfa,2014,3799
Algorfa,2013,5004
Algorfa,2012,4755
Algorfa,2011,4625
Algorfa,2010,4537
Algorfa,2009,4346
Algorfa,2008,4125
Algorfa,2007,3645
Algorfa,2006,2914
Algorfa,2005,2297
Algorfa,2004,1956
Algorfa,2003,1782
Algorfa,2002,1589
Algorfa,2001,1507
Algorfa,2000,1243
Algorfa,1999,1220
Algorfa,1998,1168
Algorfa,1996,1140
Algueña,2025,1328
Algueña,2024,1342
Algueña,2023,1395
Algueña,2022,1351
Algueña,2021,1334
Algueña,2020,1326
Algueña,2019,1336
Algueña,2018,1341
Algueña,2017,1372
Algueña,2016,1391
Algueña,2015,1413
Algueña,2014,1457
Algueña,2013,1528
Algueña,2012,1527
Algueña,2011,1503
Algueña,2010,1530
Algueña,2009,1551
Algueña,2008,1561
Algueña,2007,1515
Algueña,2006,1528
Algueña,2005,1501
Algueña,2004,1452
Algueña,2003,1449
Algueña,2002,1464
Algueña,2001,1454
Algueña,2000,1447
Algueña,1999,1459
Algueña,1998,1428
Algueña,1996,1425
Alacant/Alicante,2025,366221
Alacant/Alicante,2024,358720
Alacant/Alicante,2023,349282
Alacant/Alicante,2022,338577
Alacant/Alicante,2021,337304
Alacant/Alicante,2020,337482
Alacant/Alicante,2019,334887
Alacant/Alicante,2018,331577
Alacant/Alicante,2017,329988
Alacant/Alicante,2016,330525
Alacant/Alicante,2015,328648
Alacant/Alicante,2014,332067
Alacant/Alicante,2013,335052
Alacant/Alicante,2012,334678
Alacant/Alicante,2011,334329
Alacant/Alicante,2010,334418
Alacant/Alicante,2009,334757
Alacant/Alicante,2008,331750
Alacant/Alicante,2007,322673
Alacant/Alicante,2006,322431
Alacant/Alicante,2005,319380
Alacant/Alicante,2004,310330
Alacant/Alicante,2003,305911
Alacant/Alicante,2002,293629
Alacant/Alicante,2001,283243
Alacant/Alicante,2000,276886
Alacant/Alicante,1999,272432
Alacant/Alicante,1998,272432
Alacant/Alicante,1996,274577
Almoradí,2025,22965
Almoradí,2024,22464
Almoradí,2023,21874
Almoradí,2022,21401
Almoradí,2021,21404
Almoradí,2020,21208
Almoradí,2019,20803
Almoradí,2018,20542
Almoradí,2017,20332
Almoradí,2016,20138
Almoradí,2015,19955
Almoradí,2014,19992
Almoradí,2013,19788
Almoradí,2012,19601
Almoradí,2011,19371
Almoradí,2010,19598
Almoradí,2009,19147
Almoradí,2008,18536
Almoradí,2007,17945
Almoradí,2006,17494
Almoradí,2005,16547
Almoradí,2004,15450
Almoradí,2003,14904
Almoradí,2002,14334
Almoradí,2001,13995
Almoradí,2000,13807
Almoradí,1999,13606
Almoradí,1998,13499
Almoradí,1996,13479
Almudaina,2025,128
Almudaina,2024,118
Almudaina,2023,110
Almudaina,2022,112
Almudaina,2021,117
Almudaina,2020,109
Almudaina,2019,113
Almudaina,2018,104
Almudaina,2017,113
Almudaina,2016,119
Almudaina,2015,114
Almudaina,2014,112
Almudaina,2013,128
Almudaina,2012,129
Almudaina,2011,131
Almudaina,2010,132
Almudaina,2009,129
Almudaina,2008,129
Almudaina,2007,127
Almudaina,2006,119
Almudaina,2005,116
Almudaina,2004,111
Almudaina,2003,108
Almudaina,2002,113
Almudaina,2001,112
Almudaina,2000,117
Almudaina,1999,111
Almudaina,1998,118
Almudaina,1996,125
"Alqueria d'Asnar, l'",2025,519
"Alqueria d'Asnar, l'",2024,519
"Alqueria d'Asnar, l'",2023,511
"Alqueria d'Asnar, l'",2022,489
"Alqueria d'Asnar, l'",2021,498
"Alqueria d'Asnar, l'",2020,493
"Alqueria d'Asnar, l'",2019,493
"Alqueria d'Asnar, l'",2018,491
"Alqueria d'Asnar, l'",2017,496
"Alqueria d'Asnar, l'",2016,517
"Alqueria d'Asnar, l'",2015,522
"Alqueria d'Asnar, l'",2014,527
"Alqueria d'Asnar, l'",2013,512
"Alqueria d'Asnar, l'",2012,515
"Alqueria d'Asnar, l'",2011,508
"Alqueria d'Asnar, l'",2010,494
"Alqueria d'Asnar, l'",2009,508
"Alqueria d'Asnar, l'",2008,470
"Alqueria d'Asnar, l'",2007,455
"Alqueria d'Asnar, l'",2006,453
"Alqueria d'Asnar, l'",2005,449
"Alqueria d'Asnar, l'",2004,410
"Alqueria d'Asnar, l'",2003,402
"Alqueria d'Asnar, l'",2002,432
"Alqueria d'Asnar, l'",2001,432
"Alqueria d'Asnar, l'",2000,418
"Alqueria d'Asnar, l'",1999,416
"Alqueria d'Asnar, l'",1998,395
