Municipios	Periodo	Total
46027 Alfarrasí	1950	775
46027 Alfarrasí	1940	748
46027 Alfarrasí	1930	729
46027 Alfarrasí	1920	675
46027 Alfarrasí	1910	694
46027 Alfarrasí	1900	686
46023 Alfauir	1991	291
46023 Alfauir	1981	334
46023 Alfauir	1970	397
46023 Alfauir	1960	434
46023 Alfauir	1950	440
46023 Alfauir	1940	455
46023 Alfauir	1930	373
46023 Alfauir	1920	439
46023 Alfauir	1910	486
46023 Alfauir	1900	385
46028 Algar de Palancia	1991	399
46028 Algar de Palancia	1981	438
46028 Algar de Palancia	1970	494
46028 Algar de Palancia	1960	551
46028 Algar de Palancia	1950	628
46028 Algar de Palancia	1940	607
46028 Algar de Palancia	1930	606
46028 Algar de Palancia	1920	603
46028 Algar de Palancia	1910	732
46028 Algar de Palancia	1900	765
46029 Algemesí	1991	25.044
46029 Algemesí	1981	24.552
46029 Algemesí	1970	22.123
46029 Algemesí	1960	19.057
46029 Algemesí	1950	17.849
46029 Algemesí	1940	17.373
46029 Algemesí	1930	14.744
46029 Algemesí	1920	11.590
46029 Algemesí	1910	10.877
46029 Algemesí	1900	8.127
46030 Algímia d'Alfara	1991	867
46030 Algímia d'Alfara	1981	910
46030 Algímia d'Alfara	1970	898
46030 Algímia d'Alfara	1960	867
46030 Algímia d'Alfara	1950	942
46030 Algímia d'Alfara	1940	948
46030 Algímia d'Alfara	1930	1.009
46030 Algímia d'Alfara	1920	941
46030 Algímia d'Alfara	1910	998
46030 Algímia d'Alfara	1900	957
46031 Alginet	1991	11.635
46031 Alginet	1981	11.425
46031 Alginet	1970	10.040
46031 Alginet	1960	8.421
46031 Alginet	1950	7.359
46031 Alginet	1940	7.339
46031 Alginet	1930	6.147
46031 Alginet	1920	6.138
46031 Alginet	1910	6.152
46031 Alginet	1900	5.020
46032 Almàssera	1991	5.396
46032 Almàssera	1981	5.482
46032 Almàssera	1970	4.713
46032 Almàssera	1960	2.965
46032 Almàssera	1950	2.729
46032 Almàssera	1940	2.625
46032 Almàssera	1930	2.335
46032 Almàssera	1920	2.261
46032 Almàssera	1910	1.956
46032 Almàssera	1900	1.675
46033 Almiserà	1991	197
46033 Almiserà	1981	225
46033 Almiserà	1970	295
46033 Almiserà	1960	307
46033 Almiserà	1950	295
46033 Almiserà	1940	296
46033 Almiserà	1930	349
46033 Almiserà	1920	309
46033 Almiserà	1910	307
46033 Almiserà	1900	329
46034 Almoines	1991	1.769
46034 Almoines	1981	1.897
46034 Almoines	1970	1.982
46034 Almoines	1960	1.707
46034 Almoines	1950	1.646
46034 Almoines	1940	1.604
46034 Almoines	1930	1.362
46034 Almoines	1920	1.257
46034 Almoines	1910	961
46034 Almoines	1900	960
46035 Almussafes	1991	6.335
46035 Almussafes	1981	5.017
46035 Almussafes	1970	3.720
46035 Almussafes	1960	3.448
46035 Almussafes	1950	3.359
46035 Almussafes	1940	3.162
46035 Almussafes	1930	2.841
46035 Almussafes	1920	2.822
46035 Almussafes	1910	2.602
46035 Almussafes	1900	2.267
46036 Alpuente	1991	1.155
46036 Alpuente	1981	1.440
46036 Alpuente	1970	1.869
46036 Alpuente	1960	2.144
46036 Alpuente	1950	2.420
46036 Alpuente	1940	2.543
46036 Alpuente	1930	2.493
46036 Alpuente	1920	2.745
46036 Alpuente	1910	3.154
46036 Alpuente	1900	3.070
46037 Alqueria de la Comtessa, l'	1991	1.547
46037 Alqueria de la Comtessa, l'	1981	1.697
46037 Alqueria de la Comtessa, l'	1970	1.601
46037 Alqueria de la Comtessa, l'	1960	1.529
46037 Alqueria de la Comtessa, l'	1950	1.554
46037 Alqueria de la Comtessa, l'	1940	1.642
46037 Alqueria de la Comtessa, l'	1930	1.598
46037 Alqueria de la Comtessa, l'	1920	1.600
46037 Alqueria de la Comtessa, l'	1910	1.472
46037 Alqueria de la Comtessa, l'	1900	1.352
46017 Alzira	1991	40.055
46017 Alzira	1981	37.446
46017 Alzira	1970	32.876
46017 Alzira	1960	26.669
46017 Alzira	1950	24.935
46017 Alzira	1940	24.518
46017 Alzira	1930	21.232
46017 Alzira	1920	20.839
46017 Alzira	1910	22.657
46017 Alzira	1900	20.572
46038 Andilla	1991	184
46038 Andilla	1981	167
46038 Andilla	1970	348
46038 Andilla	1960	728
46038 Andilla	1950	952
46038 Andilla	1940	875
46038 Andilla	1930	1.129
46038 Andilla	1920	1.308
46038 Andilla	1910	1.457
46038 Andilla	1900	1.439
46039 Anna	1991	2.664
46039 Anna	1981	2.548
46039 Anna	1970	2.426
46039 Anna	1960	2.546
46039 Anna	1950	2.634
46039 Anna	1940	2.472
46039 Anna	1930	2.227
46039 Anna	1920	2.288
46039 Anna	1910	2.230
46039 Anna	1900	2.111
